0,ID,Name,lat,lon
1,NDA81,NORD GREENLAND,81.40,342.50
2,THJ77,THULE/QAANAAQ,77.50,290.80
3,THJ76,THULE,76.54,291.56
4,TR169,TROMSO,69.60,19.20
5,TR170,EISCAT TROMSO,69.58,19.22
6,NO369,NORILSK,69.20,88.00
7,KI167,KIRUNA SWEDEN,67.86,20.43
8,SMJ67,SONDRESTROM,66.98,309.06
9,ZH466,ZHIGANSK,66.80,123.40
10,SH266,SALEKHARD,66.51,66.66
11,PF765,POKER FLAT,65.13,212.55
12,CO764,COLLEGE AK,64.90,212.00
13,EI764,EIELSON,64.66,212.93
14,GA762,GAKONA,62.38,215.00
15,YA462,YAKUTSK,62.00,129.60
16,TZ362,TUNGUSKA,61.58,90.02
17,NQJ61,NARSSARSSUAQ,61.20,314.60
18,MA560,MAGADAN,60.09,150.93
19,LD160,ST. PETERSBURG,60.00,30.70
20,KS759,KING SALMON,58.40,203.60
21,MO156,ELEKTROUGLI,55.76,38.28
22,MA155,MOSCOW,55.49,37.29
23,MO155,MOSCOW,55.47,37.30
24,NV355,NOVOSIBIRSK,55.02,82.21
25,JR055,JULIUSRUH,54.60,13.40
26,KL154,KALININGRAD,54.36,20.12
27,OL246,OLSZTYN,53.80,20.50
28,GSJ53,GOOSE BAY,53.30,299.70
29,PK553,PETROPAVLOVSK,52.97,158.24
30,EA653,EARECKSON,52.73,185.92
31,IR352,IRKUTSK,52.40,104.30
32,MZ152,WARSAW,52.20,21.10
33,MH453,MOHE,52.00,122.52
34,FF051,FAIRFORD,51.70,358.50
35,RL052,CHILTON,51.50,359.40
36,DB049,DOURBES,50.10,4.60
37,PQ052,PRUHONICE,50.00,14.60
38,SO148,SOPRON,47.63,16.72
39,KB547,KHABAROVSK,47.52,134.77
40,RV149,ROSTOV,47.24,39.63
41,AL945,ALPENA,45.07,276.44
42,IF843,IDAHO NATIONAL LAB,43.81,247.32
43,AC843,IDAHO NATIONAL LAB,43.81,247.32
44,MHJ45,MILLSTONE HILL,42.60,288.50
45,HAJ43,HANSCOM AFB,42.50,288.70
46,RO041,ROME,41.90,12.50
47,RM041,ROME,41.80,12.50
48,EB040,ROQUETES,40.80,0.50
49,VT139,SAN VITO,40.60,17.80
50,BP440,BEIJING,40.30,116.20
51,BC840,BOULDER,40.00,254.70
52,CS839,COLORADO_SPRINGS,39.00,255.12
53,KI939,KENT IS,38.96,283.72
54,AT138,ATHENS,38.00,23.50
55,WI937,WALLOPS ISLAND,37.94,284.42
56,GM037,GIBILMANNA,37.90,14.00
57,WP937,WALLOPS IS,37.90,284.50
58,AN438,ANYANG,37.39,126.95
59,IC437,I-CHEON,37.14,127.54
60,EA036,EL ARENOSILLO,37.10,353.30
61,SN437,OSAN AB,37.10,127.00
62,TO535,KOKUBUNJI,35.70,139.50
63,XI434,XINXIANG CHINA,35.30,113.92
64,NI135,NICOSIA,35.03,33.16
65,KR835,KIRTLAND,35.00,253.47
66,PA836,PT ARGUELLO,34.80,239.50
67,MU834,MUNYO,33.56,253.35
68,JJ433,JEJU,33.43,126.30
69,MU230,MULTAN,33.03,72.01
70,CH833,CHERRY,32.90,253.59
71,SQ832,SQUIRT,32.42,253.71
72,BJJ32,BERMUDA,32.40,295.30
73,DS932,DYESS AFB,32.40,260.20
74,EG931,EGLIN AFB,30.50,273.50
75,WU430,WUHAN,30.50,114.40
76,AU930,AUSTIN,30.40,262.30
77,ME929,MELROSE,29.71,278.00
78,OK426,OKINAWA,26.68,128.15
79,CL424,CHUNG-LI,25.00,121.20
80,DH224,AL DHAFRA AFB,24.24,54.58
81,AH223,AHMEDABAD,23.00,72.50
82,LL721,LUALUALEI,21.43,201.85
83,HA419,HAINAN,19.40,109.00
84,WA619,WAKE,19.29,166.65
85,PRJ18,RAMEY,18.50,292.90
86,SA418,SANYA,18.34,109.42
87,SJJ18,PUERTO RICO,18.11,293.75
88,GU513,GUAM,13.62,144.86
89,GA313,GADANKI,13.46,79.17
90,KJ609,KWAJALEIN,9.00,167.20
91,TM308,TRIVANDRUM,8.54,76.87
92,IL008,ILORIN,8.50,4.50
93,BVJ03,BOA VISTA,2.80,299.30
94,BLJ03,BELEM,1.43,311.56
95,SAA0K,SAOLUIS,-2.60,315.80
96,FZA0M,FORTALEZA,-3.90,321.60
97,AS00Q,ASCENSION ISLAND,-7.95,345.60
98,CXM9B,CACHIMBO,-9.50,305.20
99,JI91J,JICAMARCA,-12.00,283.20
100,CS31K,COCOS_ISLAND,-12.18,96.83
101,DW41K,DARWIN,-12.45,130.95
102,ND61R,NIUE,-19.07,190.07
103,TV51R,TOWNSVILLE,-19.63,146.85
104,SH42_,SOUTH HEDLAND,-20.40,118.50
105,CGK21,CAMPO GRANDE,-20.50,305.00
106,LM42B,LEARMONTH,-21.80,114.10
107,MU12K,MADIMBO,-22.39,30.88
108,CAJ2M,CACHOEIRA PAULISTA,-22.70,315.00
109,TUJ2O,TUCUMAN,-26.90,294.60
110,TNJ20,TUCUMAN AIS-INGV,-26.90,294.60
111,BR52P,BRISBANE,-27.06,153.06
112,LA42Q,LAVERTON,-28.30,122.80
113,LV12P,LOUISVALE,-28.50,21.20
114,NI63_,NORFOLK,-29.03,167.97
115,SMK29,SANTA MARIA,-29.73,306.29
116,PE43K,PERTH,-32.00,116.13
117,GR13L,GRAHAMSTOWN,-33.30,26.50
118,CN53L,CAMDEN,-34.05,150.67
119,HE13N,HERMANUS,-34.42,19.22
120,CB53N,CANBERRA,-35.32,149.00
121,BV53Q,BUNDOORA,-37.70,145.05
122,HO54K,HOBART,-42.92,147.32
123,PSJ5J,PORT STANLEY,-51.60,302.10
124,ZS36R,ZHONG SHAN,-69.40,76.40
125,JB57N,JANG BOGO,-74.62,164.24